PWY-6684	aromatic  glucosinolate activation
PWY-5306	superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)
PWY-1281	sulfoacetaldehyde degradation I
PWY-5982	sulfoacetaldehyde degradation II
PWY-6718	sulfoacetaldehyde degradation III
PWY-8062	sulfoacetaldehyde degradation IV
PWY-6616	sulfolactate degradation I
PWY-6637	sulfolactate degradation II
PWY-6638	sulfolactate degradation III
PWY-6641	superpathway of sulfolactate degradation
PWY-5302	sulfur disproportionation II (aerobic)
PWY-6675	sulfur oxidation IV (intracellular sulfur)
PWY-5304	superpathway of sulfur oxidation (Acidianus ambivalens)
PWY-5332	sulfur reduction I
PWY-5364	sulfur reduction II (via polysulfide)
PWY-7976	sulfur reduction III
PWY-6327	tetrathionate oxidation
PWY-5360	superpathway of tetrathionate reduction (Salmonella typhimurium)
PWY-5358	tetrathionate reduction I (to thiosulfate)
PWY-5359	tetrathionate reductiuon II (to trithionate)
PWY-5277	thiosulfate disproportionation I (thiol-dependent)
PWY-5352	thiosulfate disproportionation II (cytochrome)
PWY-7813	thiosulfate disproportionation III (quinone)
PWY-5350	thiosulfate disproportionation IV (rhodanese)
PWY-5303	thiosulfate oxidation II (via tetrathionate)
PWY-5296	thiosulfate oxidation III (multienzyme complex)
PWY-6677	thiosulfate oxidation IV (multienzyme complex)
PWY-6642	(R)-cysteate degradation
PWY-7462	3,3'-disulfanediyldipropannoate degradation
PWY-7465	3,3'-thiodipropanoate degradation
PWY-6634	3-sulfopropanediol degradation
PWY-7898	4,4'-disulfanediyldibutanoate degradation
PWY-7793	dimethyl sulfide biosynthesis from methionine
PWY-6058	dimethyl sulfone degradation
PWY-6050	dimethyl sulfoxide degradation
PWY-6043	ethanedisulfonate degradation
PWY-6321	homotaurine degradation
PWY-2601	isethionate degradation
PWY-6044	methanesulfonate degradation
PWY-5258	methanogenesis from dimethylsulfide
PWY-5260	methanogenesis from methylthiopropanoate
PWY-6593	sulfoacetate degradation
PWY-6736	sulfur volatiles biosynthesis
PWY-6072	superpathway of dimethylsulfone degradation
PWY-8130	5'-deoxyadenosine degradation I
PWY-8131	5'-deoxyadenosine degradation II
PWY-6596	adenosine nucleotides degradation I
PWY-6617	adenosine nucleotides degradation III
PWY-6607	guanosine nucleotides degradation I
PWY-6606	guanosine nucleotides degradation II
PWY-6608	guanosine nucleotides degradation III
PWY-6595	superpathway of guanosine nucleotides degradation (plants)
PWY-5695	inosine 5'-phosphate degradation
PWY-6019	pseudouridine degradation
PWY-7179	purine deoxyribonucleosides degradation I
PWY-7179-1	purine deoxyribonucleosides degradation II
PWY-5497	purine nucleobases degradation II (anaerobic)
PWY-5044	purine nucleotides degradation I (plants)
PWY-6353	purine nucleotides degradation II (aerobic)
PWY-7181	pyrimidine deoxyribonucleosides degradation
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation
PWY-6426	uracil degradation II (oxidative)
PWY-7209	superpathway of pyrimidine ribonucleosides degradation
PWY-6430	thymine degradation
PWY-7185	UTP and CTP dephosphorylation I
PWY-7177	UTP and CTP dephosphorylation II
PWY-6754	S-methyl-5'-thioadenosine degradation I
PWY-6756	S-methyl-5'-thioadenosine degradation II
PWY-6753	S-methyl-5'-thioadenosine degradation III
PWY-5532	nucleoside and nucleotide degradation (archaea)
PWY-7924	rubber degradation I
PWY-7925	rubber degradation II
PWY-6341	guaiacylglycerol-beta-guaiacyl ether degradation
PWY-7794	polyethylene terephthalate degradation
PWY-6423	hemoglobin degradation
PWY-7652	echinocandin B degradation
PWY-7808	tetracycline resistance
PWY-6996	daidzin and daidzein degradation
PWY-7445	luteolin triglucuronide degradation
PWY-7133	quercetin glucoside degradation (Allium)
PWY-6848	rutin degradation
PWY-7134	rutin degradation (plants)
PWY-6552	caffeine degradation I (main, plants)
PWY-6553	caffeine degradation II
PWY-6538	caffeine degradation III (bacteria, via demethylation)
PWY-6632	caffeine degradation IV (bacteria, via demethylation and oxidation)
PWY-6633	caffeine degradation V (bacteria, via trimethylurate)
PWY-5461	betanidin degradation
PWY-6999	theophylline degradation
PWY-6011	amygdalin and prunasin degradation
PWY-5976	dhurrin degradation
PWY-3121	linamarin degradation
PWY-7091	linustatin bioactivation
PWY-6002	lotaustralin degradation
PWY-7092	neolinustatin bioactivation
PWY-7089	taxiphyllin bioactivation
PWY-7093	vicianin bioactivation
PWY-31	canavanine degradation
PWY-7635	kievitone detoxification
PWY-7615	pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)
PWY-7883	anhydromuropeptides recycling II
PWY-4702	phytate degradation I
PWY-4781	phytate degradation II
PWY-6363	D-myo-inositol (1,4,5)-trisphosphate degradation
PWY-7789	erythritol degradation I
PWY-7788	erythritol degradation II
PWY-7862	D-altritol and galactitol degradation
PWY-4101	D-sorbitol degradation I
PWY-7786	D-threitol degradation
PWY-7787	L-threitol degradation
PWY-6531	mannitol cycle
PWY-7237	myo-, chiro- and scyllo-inositol degradation
PWY-7241	myo-inositol degradation II
PWY-7446	sulfoquinovose degradation I
PWY-7722	sulfoquinovose degradation II
PWY-6507	4-deoxy-L-threo-hex-4-enopyranuronate degradation
PWY-6516	superpathway of microbial D-galacturonate and D-glucuronate degradation
PWY-6989	(-)-camphor degradation
PWY-5922	(4R)-carveol and (4R)-dihydrocarveol degradation
PWY-5927	(4S)-carveol and (4S)-dihydrocarveol degradation
PWY-6411	ginsenoside degradation I
PWY-6412	ginsenoside degradation II
PWY-5923	limonene degradation I (D-limonene)
PWY-5924	limonene degradation II (L-limonene)
PWY-6526	limonene degradation III (to perillate)
PWY-8029	limonene degradation IV (anaerobic)
PWY-7102	bisabolene biosynthesis (engineered)
PWY-7136	beta myrcene degradation
PWY-6806	carotenoid cleavage
PWY-6672	cis-genanyl-CoA degradation
PWY-6670	citronellol degradation
PWY-6678	geraniol and nerol degradation
PWY-6413	ginsenoside degradation III
PWY-6995	5-hydroxymethylfurfural degradation
PWY-8118	patellamide A and C biosynthesis
PWY-8022	salmochelin degradation
PWY-7114	tea aroma glycosidic precursor bioactivation
PWY-6502	8-oxo-(d)GTP detoxification I
PWY-8061	8-oxo-(d)GTP detoxification II
PWY-6828	linezolid resistance
PWY-7096	triclosan resistance
PWY-4202	arsenate detoxification I (mammalian)
PWY-4621	arsenate detoxification II (glutaredoxin)
PWY-8101	arsenate detoxification III (thioredoxin)
PWY-6421	arsenate detoxification IV (mycothiol)
PWY-4521	arsenite oxidation I (respiratory)
PWY-7429	arsenite oxidation II (respiratory)
PWY-7142	cyanide detoxification II
PWY-2261	ascorbate glutathione cycle
PWY-7112	4-hydroxy-2-nonenal detoxification
PWY-3821	D-galactose detoxification
PWY-6786	detoxification of reactive carbonyls in chloroplasts
PWY-6646	fluoroacetate degradation
PWY-6997	furfural degradation
PWY-6842	glutathione-mediated detoxification II
PWY-6841	homophytochelatin biosynthesis
PWY-6745	phytochelatins biosynthesis
PWY-5172	acetyl-CoA biosynthesis from citrate
PWY-6970	pyruvate decarboxylation to acetyl CoA II
PWY-5382	hydrogen oxidation II (aerobic, NAD)
PWY-6512	hydrogen oxidation III (anaerobic, NADP)
PWY-3781	aerobic respiration I (cytochrome c)
PWY-7279	aerobic respiration II (cytochrome c) (yeast)
PWY-4302	aerobic respiration III (alternative oxidase pathway)
PWY-101	photosynthesis light reactions
PWY-7545	pyruvate to cytochrome bd oxidase electron transfer
PWY-7544	pyruvate to cytochrome bo oxidase electron transfer
PWY-5938	pyruvate fermentation to (R)-acetoin I
PWY-5939	pyruvate fermentation to (R)-acetoin II
PWY-6389	pyruvate fermentation to (S)-acetoin
PWY-6583	pyruvate fermentation to butanol I
PWY-6883	pyruvate fermentation to butanol II (engineered)
PWY-5480	pyruvate fermentation to ethanol I
PWY-5486	pyruvate fermentation to ethanol II
PWY-6587	pyruvate fermentation to ethanol III
PWY-5481	pyruvate fermentation to (S)-lactate
PWY-5494	pyruvate fermentation to propanoate II (acrylate pathway)
PWY-6588	pyruvate fermentation to acetone
PWY-6863	pyruvate fermentation to hexanol (engineered)
PWY-7111	pyruvate fermentation to isobutanol (engineered)
PWY-7351	pyruvate fermentation to opines
PWY-6604	superpathway of Clostridium acetobutylicum acidogenic and solventogenic fermentation
PWY-6590	superpathway of Clostridium acetobutylicum acidogenic fermentation
PWY-6594	superpathway of Clostridium acetobutylicum solventogenic fermentation
PWY-7541	1,2-propanediol biosynthesis from lactate (engineered)
PWY-7385	1,3-propanediol biosynthesis (engineered)
PWY-6886	1-butanol autotrophic biosynthesis (engineered)
PWY-7396	butanol and isobutanol biosynthesis (engineered)
PWY-7003	glycerol degradation to butanol
PWY-5676	acetyl-CoA fermentation to butanoate II
PWY-5677	succinate fermentation to butanoate
PWY-8086	(S)-lactate fermentation to propanoate, acetate and hydrogen
PWY-7384	anaerobic energy metabolism (invertebrates, mitochondrial)
PWY-5109	fermentation to 2-methylbutanoate
PWY-7383	anaerobic energy metabolism (invertebrates, cytosol)
PWY-7402	benzoate fermentation (to acetate and cyclohexane carboxylate)
PWY-7401	crotonate fermentation (to acetate and cyclohexane carboxylate)
PWY-7389	superpathway of anaerobic energy metabolism (invertebrates)
PWY-5484	glycolysis II (from fructose 6-phosphate)
PWY-1042	glycolysis IV (plant cytosol)
PWY-6744	hydrogen production I
PWY-6758	hydrogen production II
PWY-6759	hydrogen production III
PWY-6765	hydrogen production IV
PWY-6772	hydrogen production V
PWY-6780	hydrogen production VI
PWY-6785	hydrogen production VIII
PWY-6751	superpathway of hydrogen production
PWY-7731	superpathway of photosynthetic hydrogen production
PWY-6118	glycerol-3-phosphate shuttle
PWY-7796	pentose phosphate pathway (oxidative branch) II
PWY-7115	C4 photosynthetic carbon assimilation cycle, NAD-ME type
PWY-241	C4 photosynthetic carbon assimilation cycle, NADP-ME type
PWY-7117	C4 photosynthetic carbon assimilation cycle, PEPCK type
PWY-5248	methanogenesis from dimethylamine
PWY-8107	methanogenesis from glycine betaine
PWY-5259	methanogenesis from methanethiol
PWY-5247	methanogenesis from methylamine
PWY-5261	methanogenesis from tetramethylammonium
PWY-5250	methanogenesis from trimethylamine
PWY-5209	methyl-coenzyme M oxidation to CO2
PWY-6830	superpathway of methanogenesis
PWY-4601	arsenate reduction (respiratory)
PWY-6529	chlorate reduction
PWY-6530	perchlorate reduction
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA
PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA
PWY-5913	partial TCA cycle (obligate autotrophs)
PWY-5690	TCA cycle II (plants and fungi)
PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)
PWY-7254	TCA cycle VII (acetate-producers)
PWY-7980	ATP biosynthesis
PWY-5741	ethylmalonyl-CoA pathway
PWY-6876	isopropanol biosynthesis (engineered)
PWY-5197	lactate biosynthesis (archaea)
PWY-6873	long chain fatty acid ester synthesis (engineered)
PWY-7007	methyl ketone biosynthesis (engineered)
PWY-6728	methylaspartate cycle
PWY-6938	NADH repair (eukaryotes)
PWY-6938-1	NADH repair (prokaryotes)
PWY-8137	NADPH repair (eukaryotes)
PWY-8136	NADPH repair (prokaryotes)
PWY-5723	Rubisco shunt
PWY-5464	superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation
PWY-6700	queuosine biosynthesis I (de novo)
PWY-8105	queuosine biosynthesis II (queuine salvage)
PWY-8106	queuosine biosynthesis III (queuosine salvage)
PWY-6689	tRNA splicing I
PWY-7803	tRNA splicing II
PWY-7286	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis
PWY-6711	archaeosine biosynthesis I
PWY-7923	archaeosine biosynthesis II
PWY-7285	methylwyosine biosynthesis
PWY-7375	mRNA capping I
PWY-7379	mRNA capping II
PWY-6829	tRNA methylation (yeast)
PWY-7888	tRNA-uridine 2-thiolation (cytoplasmic)
PWY-7889	tRNA-uridine 2-thiolation (mammalian mitochondria)
PWY-7904	tRNA-uridine 2-thiolation (thermophilic bacteria)
PWY-7891	tRNA-uridine 2-thiolation (yeast mitochondria)
PWY-7892	tRNA-uridine 2-thiolation and selenation (bacteria)
PWY-7283	wybutosine biosynthesis
PWY-7942	5-oxo-L-proline metabolism
PWY-7800	Ac/N-end rule pathway
PWY-7799	Arg/N-end rule pathway (eukaryotic)
PWY-7884	lipoprotein posttranslational modification
PWY-7801	N-end rule pathway I (prokaryotic)
PWY-7802	N-end rule pathway II (prokaryotic)
PWY-7894	procollagen hydroxylation and glycosylation
PWY-7899	protein NEDDylation
PWY-7893	protein Pupylation and dePupylation
PWY-7798	protein S-nitrosylation and denitrosylation
PWY-7887	protein SAMPylation and SAMP-mediated thiolation
PWY-7511	protein ubiquitination
PWY-7886	cell-surface glycoconjugate-linked phosphocholine biosynthesis
PWY-8129	cell-surface glycoconjugate-linked phosphonate biosynthesis
PWY-6544	superpathway of C28 brassinosteroid biosynthesis
PWY-6266	superpathway of flavones and derivatives biosynthesis
PWY-5717	superpathway of formononetin derivative biosynthesis
PWY-7537	superpathway of fumitremorgin biosynthesis
PWY-6234	superpathway of jasmonoyl-amino acid conjugates biosynthesis
PWY-5991	superpathway of linamarin and lotaustralin biosynthesis
PWY-7715	superpathway of trichothecene biosynthesis
