4.99.1.M4	phenylacetonitrile-specifying protein	RXN-12025+RXN-8136+RXNQT-4351
4.3.2.3	ureidoglycolate urea-lyase	UREIDOGLYCOLATE-LYASE-RXN
3.5.1.116	ureidoglycolate amidohydrolase	UREIDOGLYCOLATE-HYDROLASE-RXN
3.5.2.5	allantoinase	ALLANTOINASE-RXN
3.5.1.5	urease	UREASE-RXN
6.3.4.6	urea carboxylase	UREA-CARBOXYLASE-RXN
1.4.3.4	tyramine oxidase	RXN-5821+RXN6666-4+RXN-10913+RXN-10910+RXN-10908+RXN-10778
1.2.1.53	4-hydroxyphenylacetaldehyde dehydrogenase	1.2.1.53-RXN
2.8.2.1	dopamine sulfotransferase	RXN6666-9+RXN-10777+RXN-10782+RXN-11058+RXN-11059
3.5.1.125	N2-acetyl-L-2,4-diaminobutanoate deacetylase	RXN-18396
1.2.1.M5	aspartate-semialdehyde dehydrogenase (non-phosphorylating)	RXN-18427
4.3.1.7	ethanolamine ammonia-lyase	ETHAMLY-RXN
2.3.1.8	phosphate acetyltransferase	PHOSACETYLTRANS-RXN
1.4.3.22	histamine oxidase	RXN-9600
2.1.1.8	histamine N-methyltransferase	HISTAMINE-N-METHYLTRANSFERASE-RXN
4.1.3.3	N-acetylneuraminate lyase	ACNEULY-RXN
2.7.1.60	N-acetylmannosamine kinase	NANK-RXN
5.1.3.9	N-acetylmannosamine-6-phosphate 2-epimerase	NANE-RXN
3.5.1.25	N-acetylglucosamine-6-phosphate deacetylase	NAG6PDEACET-RXN
3.5.99.6	glucosamine-6-phosphate deaminase	GLUCOSAMINE-6-P-DEAMIN-RXN
6.3.1.11	glutamate-putrescine ligase	RXN0-3901
1.4.3.M3	gamma-glutamylputrescine oxidase	RXN0-3921
1.2.1.99	gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase	RXN0-3922
3.5.1.94	gamma-glutamyl-gamma-aminobutyrate hydrolase	RXN0-3942
1.2.1.19	gamma-aminobutyraldehyde dehydrogenase	AMINOBUTDEHYDROG-RXN+RXN0-7318
1.2.1.39	phenylacetaldehyde dehydrogenase	PHENDEHYD-RXN
1.14.13.149	phenylacetyl-CoA 1,2-epoxidase	RXN0-2042
3.3.2.12	oxepin-CoA hydrolase	RXNMETA-12671
1.2.1.91	3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase	RXNMETA-12672
2.3.1.223	3-oxo-5,6-dehydrosuberyl-CoA thiolase	RXN0-6512
2.3.1.174	beta-ketoadipyl-CoA thiolase	RXN-3641
1.14.13.238	dimethylamine monooxygenase	RXN-12901
6.3.4.12	glutamate--methylamine ligase	GLUTAMATE--METHYLAMINE-LIGASE-RXN
2.1.1.21	N-methyl-L-glutamate synthase	RXN-12902
1.5.99.5	N-methyl glutamate dehydrogenase	METHYLGUTAMATE-DEHYDROGENASE-RXN
4.1.2.32	trimethylamine-oxide aldolase	TRIMETHYLAMINE-OXIDE-ALDOLASE-RXN
1.2.1.29	(-)-dehydrodiconiferyl aldehyde dehydrogenase	RXN-15819+RXN-663
3.7.1.8	2-hydroxy-6-oxo-6-(2,3-dihydroxyphenyl)-hexa-2,4-dienoate hydrolase	RXN-13171+R608-RXN+3.7.1.8-RXN
1.2.1.85	2-hydroxymuconate semialdehyde dehydrogenase	RXN-8527
5.3.2.6	2-hydroxymuconate tautomerase	RXN-8529
4.1.1.77	2-oxo-3-hexenedioate decarboxylase	4.1.1.77-RXN
1.13.11.4	4-methylgentisate 1,2-dioxygenase	RXN-16947+RXN-16945
3.7.1.23	(2E)-3-methyl-4,6-dioxohept-2-enedioate hydrolase	RXN-16948+RXN-16946
1.14.13.24	3-hydroxy-5-methylbenzoate 6-hydroxylase	RXN-16950
1.13.11.74	2-aminophenol 1,6-dioxygenase	RXN-8818
1.2.1.32	2-aminomuconic 6-semialdehyde dehydrogenase	1.2.1.32-RXN
3.5.99.5	2-aminomuconate deaminase	3.5.99.5-RXN
1.13.11.39	2,3-dihydroxybiphenyl-1,2-dioxygenase	BIPHENYL-23-DIOL-12-DIOXYGENASE-RXN+RXN-11542+RXN-17343
1.13.11.M5	3-isopropylcatechol-1,2-dioxygenase	RXN-13155+RXN-666
1.14.12.19	3-phenylpropionate dioxygenase	HCAMULTI-RXN
1.3.1.87	2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase	PHENPRODIOLDEHYDROG-RXN
1.13.11.16	2,3-dihydroxyphenylpropionate 1,2-dioxygenase	1.13.11.16-RXN
3.7.1.14	2-hydroxy-6-ketonona-2,4-dienedioate hydrolase	MHPCHYDROL-RXN
4.2.1.80	2-oxopent-4-enoate hydratase	2-OXOPENT-4-ENOATE-HYDRATASE-RXN
4.1.3.39	4-hydroxy-2-oxovalerate aldolase	MHPELY-RXN
3.5.99.-	2-amino-5-carboxymuconic 6-semialdehyde deaminase	RXN-13135
1.14.13.84	4-hydroxyacetophenone monooxygenase	RXN-13129
1.13.11.66	hydroquinone 1,2-dioxygenase	RXN-8740
5.1.2.2	(S)-4-hydroxymandelate racemase	HYDROXY-MANDELATE-RACEMASE-RXN
1.1.5.-	(S)-mandelate dehydrogenase	4-HYDROXYMANDELATE-OXY-RXN
4.1.1.7	p-hydroxybenzoylformate carboxy-lyase	HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN
1.2.1.96	NADP+-4-hydroxybenzaldehyde dehydrogenase	HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN
1.13.11.15	3,4-dihydroxyphenylacetate dioxygenase	1.13.11.15-RXN
1.2.1.60	2-hydroxy-5-carboxymethylmuconate semialdehyde dehydrogenase	CHMS-DEHYDROGENASE-RXN
5.3.3.10	5-carboxymethyl-2-hydroxymuconate isomerase	5.3.3.10-RXN
4.1.1.68	5-carboxymethyl-2-oxo-hex-3-ene-1,7-dioate decarboxylase	4.1.1.68-RXN
4.2.1.163	2-hydroxyhepta-2,4-dienedioate hydratase	HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN
4.1.2.52	4-hydroxy-2-ketopimelate aldolase	4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN
5.5.1.7	3-methylmuconate cycloisomerase	RXN-10081
5.4.99.14	4-methylmuconolactone methylisomerase	5.4.99.14-RXN
5.3.3.4	methylmuconolactone isomerase	RXN-10082+MUCONOLACTONE-DELTA-ISOMERASE-RXN
1.1.1.M5	4-carboxybenzyl alcohol dehydrogenase	COLCYD-RXN
4.2.1.84	3-cyanopyridine hydratase	R313-RXN+R310-RXN
3.5.1.19	nicotinamide amidase	NICOTINAMID-RXN
6.2.1.25	benzoate-CoA ligase	BENZOATE--COA-LIGASE-RXN
4.1.99.11	benzylsuccinate synthase	RXN-863
2.8.3.15	succinyl-CoA:benzylsuccinate CoA-transferase	RXN-864
1.3.8.3	benzylsuccinyl-CoA dehydrogenase	RXN-865
2.3.1.M17	benzoylsuccinyl-CoA thiolase	RXN-904
6.2.1.27	4-hydroxybenzoate-CoA ligase	4-HYDROXYBENZOATE--COA-LIGASE-RXN
1.1.7.1	4-hydroxybenzoyl-CoA reductase	OHBENZCOARED-RXN
1.3.7.8	benzoyl-CoA reductase	1.3.99.15-RXN
4.2.1.100	cyclohexa-1,5-diene-1-carboxyl-CoA hydratase	4.2.1.100-RXN
1.1.1.368	6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase	HADTHAUERA-RXN
3.5.1.123	N-glutamylanilide hydrolase	RXN-15251+RXN-15250
1.14.12.-	gamma-glutamylanilide dioxygenase	RXN-15249+R602-RXN+R606-RXN+RXN-11679
1.14.12.3	benzene 1,2-dioxygenase	BENZENE-12-DIOXYGENASE-RXN
1.3.1.19	cis-benzene glycol dehydrogenase	1.3.1.19-RXN+TOLUENE-DIOL-DEHYDROGENASE-RXN
1.14.12.18	biphenyl 2,3-dioxygenase	1.14.12.18-RXN+RXN-17339
1.3.1.56	cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase	1.3.1.56-RXN+RXN-17340
1.14.13.M78	1-naphthol 2-hydroxylase	RXN-21086
1.13.11.56	1,2-dihydroxynaphthalene dioxygenase	RXN-8612
5.99.1.4	2-hydroxychromene-2-carboxylate isomerase	RXNN-386
4.1.2.45	trans-o-hydroxybenzylidenepyruvate hydratase-aldolase	RXN-8615
1.2.1.65	salicylaldehyde dehydrogenase	1.2.1.65-RXN
1.14.12.22	carbazole 1,9a-dioxygenase	RXN-11511
3.7.1.13	2-hydroxy-6-oxo-6-(2'-aminophenyl)-hexa-2,4dienoate hydrolase	RXN-11543
3.1.8.1	chlorpyrifos hydrolase	RXN-20725+RXN-8743+RXN-8746+ARYLDIALKYL-PHOSPHATASE-RXN
3.13.1.3	2'-hydroxybiphenyl-2-sulfinate desulfinase	RXN-624
1.17.99.2	ethylbenzene dehydrogenase	RXN-1301
1.1.1.311	(S)-1-phenylethanol dehydrogenase	RXN-1302
6.4.1.8	acetophenone carboxylase	RXN-1303
3.1.1.57	2-pyrone-4,6-dicarboxylate hydrolase	RXN-2462
4.2.1.83	4-carboxy-2-hydroxymuconate hydratase	RXN-2463
4.1.3.17	4-carboxy-4-hydroxy-2-oxoadipate aldolase	RXN-2464
4.1.1.112	oxaloacetate beta-decarboxylase	OXALODECARB-RXN
1.14.13.1	4-methylsalicylate 1-hydroxylase	RXN-10078+SALICYLATE-1-MONOOXYGENASE-RXN
1.14.12.12	naphthalene 1,2-dioxygenase	NAPHTHALENE-12-DIOXYGENASE-RXN
1.3.1.29	cis-1,2-dihydro-1,2-dihydroxynaphthalene-1, 2-dehydrogenase	1.3.1.29-RXN
1.14.12.25	p-cumate 2,3-dioxygenase	RXN-664
1.3.1.58	2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase	RXN-665
4.1.1.M8	2-hydroxy-3-carboxy-6-oxo-7-methylocta-2,4-dienoate decarboxylase	RXN-667
1.1.1.M33	p-cumic alcohol dehydrogenase	RXN-662
4.1.1.69	3,4-dihydroxyphthalate decarboxylase	34-DIHYDROXYPHTHALATE-DECARBOXYLASE-RXN
1.17.9.b	(+)-pinoresinol hydroxylase	RXN-19409
1.13.11.37	hydroxyquinol 1,2-dioxygenase	RXN-10137
1.3.1.32	maleylacetate reductase	MALEYLACETATE-REDUCTASE-RXN+CHLOROMALERED-RXN
5.3.99.-	epoxystyrene isomerase	RXN-12765
1.1.5.8	quinate dehydrogenase	1.1.99.25-RXN+SHIKIMATE-PQQ-RXN
1.14.12.11	toluene 1,2-dioxygenase	TOLUENE-DIOXYGENASE-RXN
1.1.99.31	(S)-2-hydroxy-2-phenylacetate:acceptor 2-oxidoreductase	MANDELATE-DEHYDROGENASE-RXN
1.2.1.7	NADP+-benzaldehyde dehydrogenase	BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN
1.14.12.10	benzoate 1,2-dioxygenase	BENZOATE-12-DIOXYGENASE-RXN
1.3.1.25	1,2-dihyroxy-3,5-cyclohexadiene-1-carboxylate dehydrogenase	1.3.1.25-RXN
1.13.11.2	3-methylcatechol 2,3-dioxygenase	CATECHOL-2-3-DIOXYGENASE-RXN+CATECHOL-23-DIOXYGENASE-RXN+RXN-11219
3.7.1.25	2-hydroxy-6-oxohepta-2,4-dienoate hydrolase	2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN+RXN-20763
3.7.1.3	kynureninase	KYNURENINASE-RXN+3-HYDROXY-KYNURENINASE-RXN
1.14.12.1	anthranilate dioxygenase	1.14.12.1-RXN
3.7.1.9	2-hydroxymuconic semialdehyde hydrolase	3.7.1.9-RXN
4.2.1.118	dehydroshikimate dehydratase	DHSHIKIMATE-DEHYDRO-RXN
1.13.11.3	protocatechuate:oxygen 3,4-oxidoreductase	PROTOCATECHUATE-34-DIOXYGENASE-RXN
5.5.1.2	3-carboxymuconate cycloisomerase	5.5.1.2-RXN
4.1.1.44	4-carboxymuconolactone decarboxylase	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN
1.13.11.1	catechol 1,2-dioxygenase	CATECHOL-12-DIOXYGENASE-RXN
5.5.1.1	muconate cycloisomerase	MUCONATE-CYCLOISOMERASE-RXN
3.1.1.24	beta-ketoadipate enol-lactone hydrolase	3-OXOADIPATE-ENOL-LACTONASE-RXN
2.8.3.6	beta-ketoadipate:succinyl CoA transferase	3-OXOADIPATE-COA-TRANSFERASE-RXN
1.17.1.5	nicotinate hydroxylase	RXN-7637
1.3.7.1	6-hydroxynicotinate reductase	6-HYDROXYNICOTINATE-REDUCTASE-RXN
3.5.2.18	enamidase	3.5.2.18-RXN
1.1.1.291	2-(hydroxymethyl)glutarate dehydrogenase	1.1.1.291-RXN
5.4.99.4	2-methyleneglutarate mutase	2-METHYLENEGLUTARATE-MUTASE-RXN
5.3.3.6	3-methylitaconate Delta-isomerase	METHYLITACONATE-DELTA-ISOMERASE-RXN
4.2.1.85	dimethylmaleate hydratase	DIMETHYLMALEATE-HYDRATASE-RXN
4.1.3.32	2,3-dimethylmalate lyase	23-DIMETHYLMALATE-LYASE-RXN
2.1.1.341	3-O-methylgallate O-demethylase	RXN-10892+RXN-2
1.13.11.57	gallate dioxygenase	GALLATE-DIOXYGENASE-RXN
5.3.2.8	4-oxalomesaconate tautomerase	RXN-9983
1.14.12.15	terephthalate 1,2-dioxygenase	1.14.12.15-RXN
1.3.1.53	1,2-dihydroxy-3,5-cyclohexadiene-1,4-dicarboxylate dehydrogenase	1.3.1.53-RXN
1.2.5.3	carbon monoxide dehydrogenase	RXN-17357
6.3.4.3	formate:tetrahydropteroylpolyglutamate ligase	FORMATETHFLIG-RXN
3.5.4.9	methenyltetrahydrofolate cyclohydrolase	METHENYLTHFCYCLOHYDRO-RXN
1.5.1.5	methylenetetrahydrofolate dehydrogenase	METHYLENETHFDEHYDROG-NADP-RXN
1.17.1.9	NAD-dependent formate dehydrogenase	1.2.1.2-RXN
2.1.1.90	methanol-CoM methyltransferase	RXN-8095
2.1.1.246	MtaC protein: coenzyme M methyltransferase	RXN-8096
1.4.9.1	methylamine dehydrogenase	RXN-2841
1.1.2.7/1.1.2.e	methanol dehydrogenase	RXN-2861
4.2.1.147	5,6,7,8-tetrahydromethanopterin hydro-lyase	RXN-2882
1.5.1.-	methylene tetrahydromethanopterin dehydrogenase	RXN-2883
4.4.1.22	S-(hydroxymethyl)glutathione synthase	RXN-2961
1.1.1.284	NAD- and glutathione-dependent formaldehyde dehydrogenase	RXN-2962+RXN-17884
3.1.2.12	S-formylglutathione hydrolase	S-FORMYLGLUTATHIONE-HYDROLASE-RXN
2.3.1.190	acetoin dehydrogenase	RXN-9718
1.14.13.230	butane monooxygenase	RXN-17638
1.1.2.9	1-butanol dehydrogenase (cytochrome c)	RXN-17642
1.1.5.11	1-butanol dehydrogenase	RXN-17641
1.14.13.M36	methyl tert-butyl ether monooxygenase	RXN-17612
1.1.1.M26	tert-butoxymethanol dehydrogenase	RXN-17613
1.14.13.229	tert-butyl alcohol hydroxylase	RXN-17610
1.1.1.400	2-methyl-propane-1,2-diol dehydrogenase	RXN-17602
1.2.1.98	2-hydroxy-2-methylpropanal dehydrogenase	RXN-17603
6.2.1.M4	2-hydroxyisobutanoate-CoA ligase	RXN-17606
5.4.99.64	2-hydroxyisobutanoyl-CoA mutase	RXN-17605
1.2.1.M9	2-oxoadipate dehydrogenase	2-KETO-ADIPATE-DEHYDROG-RXN
6.2.1.2	4-hydroxypentanoate-CoA ligase	RXN-19192+RXN-21773+RXN-21777
1.1.1.M44	4-oxopentanoyl-CoA 4-dehydrogenase	RXN-19186
2.7.1.M16	4-hydroxypentanoyl-CoA kinase	RXN-19187
2.8.3.10	citrate-ACP transferase	CITTRANS-RXN
4.1.3.34	citryl-CoA lyase	CITRYLY-RXN
1.3.8.11	cyclohexanecarboxyl-CoA dehydrogenase	R282-RXN
4.1.1.104	4-phospho-D-erythronate 3-dehydrogenase	RXN-18589+RXN-18588
5.3.1.35	2-dehydro-L-threonate isomerase	RXN-18593+RXN-18592
2.7.1.217	3-dehydro-L-threonate 4-kinase	RXN-18594+RXN-18595
2.7.1.12	D-gluconate kinase	GLUCONOKIN-RXN
2.7.1.203	D-glucosaminate PTS permease	RXN-14729
4.3.1.29	D-glucosaminate 6-phosphate ammonia-lyase	RXN-14730
4.1.2.14/4.1.2.55	2-dehydro-3-deoxy-phosphogluconate aldolase	KDPGALDOL-RXN
1.1.3.M4	(S)-2-hydroxyglutarate oxidase	RXN0-5364
4.2.1.150	(S)-3-hydroxybutanoyl-CoA hydro-lyase (crotonoyl-CoA-forming)	RXN-11667
4.1.3.4	hydroxymethylglutaryl-CoA lyase	HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN
1.14.14.10	nitrilotriacetate monooxygenase	RXN-9508
1.13.11.9	2,5-dihydroxypyridine 5,6-dioxygenase	1.13.11.9-RXN
3.5.1.106	N-formylmaleamate deformylase	RXN-11318
3.5.1.107	maleamate amidohydrolase	RXN-646
5.2.1.1	maleate isomerase	MALEATE-ISOMERASE-RXN
2.3.1.12	dihydrolipoyllysine-residue acetyltransferase	RXN0-1133
1.8.1.4	lipoate acetyltransferase N6-(dihydrolipoyl)lysine:NAD+ oxidoreductase	RXN0-1132+RXN-7716+RXN-7719
1.2.4.1	pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase	RXN0-1134
2.7.1.11	6-phosphofructokinase	6PFRUCTPHOS-RXN
1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase	GAPOXNPHOSPHN-RXN
5.4.2.11	phosphoglycerate mutase	RXN-15513
2.7.9.2	phosphoenolpyruvate synthetase	PEPSYNTH-RXN
2.3.1.54	pyruvate formate-lyase	PYRUVFORMLY-RXN
3.8.1.3	chloroacetate dehalogenase	DHLBXANAU-RXN
4.5.1.-	gamma-pentachlorocyclohexene dehydrochlorinase	LINA2-RXN
3.8.1.5	1,3,4,6-tetrachloro-1,4-cyclohexadiene dehalogenase	LINB1-RXN+LINB2-RXN
1.1.1.404	tetrachlorobenzoquinone reductase	RXN-18404
1.8.5.7	2,3,5-trichloro-6-S-glutathionylhydroquinone reductase	RXN-18406+RXN-18403
1.21.99.5	tetrachloroethene-reductive dehalogenase	1.97.1.8-RXN
1.21.99.5/1.21.99.M1	trichloroethene reductive dehalogenase	TCEREDCHLOR-RXN
1.21.99.M1	cis-1,2-dichloroethene-reductive dehalogenase	DCEREDCHLOR-RXN
1.21.99.M2	vinyl chloride reductase	VCREDCHLOR-RXN
1.8.5.1	dehydroascorbate reductase	1.8.5.1-RXN
1.6.5.-	NADPH-monodehydroascorbate reductase	RXN-3522+RXN0-5388
3.4.19.13	glutathione hydrolase	RXN-12618+RXN-6641+RXN-13675
3.4.13.18	Cys-Gly metallodipeptidase	RXN-6622+RXN0-6981
1.1.3.12	pyridoxine 4-oxidase	PYRIDOXINE-4-OXIDASE-RXN
1.1.1.107	pyridoxal 4-dehydrogenase	PYRIDOXAL-4-DEHYDROGENASE-RXN
3.1.1.27	4-pyridoxolactonase	4-PYRIDOXOLACTONASE-RXN
1.1.99.42	4-pyridoxate dehydrogenase	RXN-8757
1.2.1.100	5-formyl-3-hydroxy-2-methylpyridine 4-carboxylate 5-dehydrogenase	RXN-8756
4.1.1.51	3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase	4.1.1.51-RXN
1.14.13.242	3-hydroxy-2-methylpyridinecarboxylate dioxygenase	1.14.12.4-RXN
3.5.1.29	2-(acetamidomethylene)succinate hydrolase	3.5.1.29-RXN
2.8.3.9	acetoacetyl-CoA transferase	ACETOACETYL-COA-TRANSFER-RXN+2.8.3.9-RXN
1.14.14.108	adamantanone 1,2-monooxygenase	R423-RXN+R422-RXN
1.13.12.16	ethylnitronate monooxygenase	2-NITROPROPANE-DIOXYGENASE-RXN
1.7.1.4	nitrite reductase	RXN0-6377
7.6.2.3	glutathione-S conjugate export	TRANS-RXN-358
3.4.13.23	[Cys-Gly]-S-conjugate dipeptidase	RXN-6642+RXN-13677
2.3.1.80	cysteine-S-conjugate N-acetyltransferase	2.3.1.80-RXN+RXN-13678
4.1.3.24	beta-methylmalyl CoA lyase	RXN-8961+MALYL-COA-LYASE-RXN
4.2.1.148	beta-methylmalyl-CoA dehydratase	RXN-8960
5.4.1.3	mesaconyl-C1-CoA-C4-CoA transferase	RXN-13230
4.2.1.153	mesaconyl-C4-CoA hydratase	RXN-8965
4.1.3.25	(S)-citramalyl-CoA lyase	CITRAMALYL-COA-LYASE-RXN
1.2.1.75	malonyl-CoA reductase	RXN-8963
1.1.1.298	3-hydroxypropionate:NADP+ oxidoreductase	RXN-8974
6.2.1.36	3-hydroxypropionate:CoA ligase	RXN-9086
4.2.1.116	3-hydroxypropionyl-CoA dehydratase	RXN-6383
1.3.1.84	acrylyl-CoA reductase	RXN-9087
3.5.2.-	N-methylpyrrolidone amidohydrolase	RXN-19382
1.5.3.21	4-methylaminobutanoate oxidase (methylamine-forming)	RXN-13065
4.99.1.-	nitroglycerin reductase (1,3-dinitroglycerol forming)	R201-RXN+R203-RXN+RXN-15252+R204-RXN+R202-RXN
3.5.1.117	6-aminohexanoate oligomer endohydrolase	RXN-14376
3.5.1.46	6-aminohexanoate oligomermer exohydrolase	RXN-14377+RXN-3962
2.6.1.116	6-aminohexanoate aminotransferase	R562-RXN
1.14.15.3	alkane hydroxylase	ALKANE-1-MONOOXYGENASE-RXN
3.1.3.86	phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase	RXN-10036
3.1.3.66	phosphatidylinositol-3,4-bisphosphate 4-phosphatase	3.1.3.66-RXN
3.1.3.64	phosphatidylinositol-3-phosphate 3-phosphatase	PHOSPHATIDYLINOSITOL-3-PHOSPHATASE-RXN
3.1.3.67	phosphatidylinositol-3,4-bisphosphate 3-phosphatase	RXN-10947
3.1.3.36	phosphatidylinositol-4,5-bisphosphate 5-phosphatase	PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN
3.5.1.99	anandamide amidohydrolase	RXN6666-2
1.13.11.31	anandamide 12-lipoxygenase	RXN-20572
2.3.1.21	carnitine O-palmitoyltransferase	RXN-9918+RXN-21778
3.1.4.2	glycerophosphocholine phosphodiesterase	3.1.4.2-RXN
3.1.4.3	non-specific phospholipase C5	PHOSPHOLIPASE-C-RXN
3.3.2.2	alkenylglycerophosphocholine hydrolase	3.3.2.2-RXN+3.3.2.5-RXN
3.1.1.3/3.1.1.34	triacylglycerol lipase	TRIACYLGLYCEROL-LIPASE-RXN
3.1.1.34/3.1.1.79/3.1.1.ad	diacylglycerol lipase	RXN-1602
3.1.1.23/3.1.1.79	2-monoacylglycerol acylhydrolase	RXN-7952
2.4.2.1/2.4.2.15	guanosine phosphorylase	RXN0-5199
2.4.2.2/2.4.2.3	uridine phosphorylase	URPHOS-RXN+URA-PHOSPH-RXN
2.7.1.48/2.7.1.213	cytidine kinase	CYTIKIN-RXN
2.4.2.57	UMP phosphorylase	RXN-14700+RXN-14699
2.7.1.212	alpha-D-ribose-1-phosphate 5-kinase (ADP)	RXN-17337
5.3.1.29	ribulose 1,5-bisphosphate isomerase	RXN-8801
5.4.2.7	deoxyribose 1,5-phosphomutase	D-PPENTOMUT-RXN
4.1.2.4	deoxyribose-phosphate aldolase	DEOXYRIBOSE-P-ALD-RXN
3.4.17.13	peptidoglycan LD-carboxypeptidase	RXN0-5227
5.1.1.20	L-Ala-D/L-Glu epimerase	RXN0-5228
3.1.1.102	mono(ethylene terephthalate) hydrolase	RXN-17826
3.4.23.39	hemoglobin aspartic proteinase	3.4.23.39-RXN
4.99.1.8	heme ligase	RXN-10785
6.2.1.31	furoyl-CoA synthetase	2-FUROATE--COA-LIGASE-RXN
1.3.99.8	furoyl-CoA dehydrogenase	2-FUROYL-COA-DEHYDROGENASE-RXN
5.3.1.32	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase	RXN-15216
2.3.1.245	3-hydroxy-2,4-pentadione 5-phosphate thiolase	RXN-15943
6.2.2.2	patellamide C heterocyclase	RXN-21191
1.3.3.16	prepatellamide thiazoline dehydrogenase	RXN-21196+RXN-21192
3.1.1.109	ferric-diglucosyl-enterobactin complex esterase	RXN-20021+RXN-20011+RXN-20012+RXN-20010+RXN-20008
3.6.1.55	8-oxo-dGTP diphosphatase	RXN-11396
3.6.1.58	8-oxo-GDP phosphatase	RXN-14002+RXN-12816
3.6.1.69	8-oxo-dGTP phosphatase	RXN-20666
6.3.1.-	asparagine synthase	RXN-11338
3.4.16.4	peptidoglycan D,D transpeptidase	RXN-11351+RXN-11065
3.4.16.-	peptidoglycan L,D-transpeptidase	RXN-11349
1.3.1.M3	enoyl-[acyl-carrier-protein] reductase (NADH)	RXN-17126
2.1.1.137	S-adenosyl-L-methionine:arsenite As-methyltransferase	2.1.1.137-RXN
7.3.2.7	arsenite-translocating ATPase	3.6.3.16-RXN
2.8.4.2	mycothiol-arsenate ligase	RXN-11187
1.20.4.3	mycothiol-arsenate conjugate:mycoredoxin mycothiolyl transferase	RXN-11189
1.8.1.15	mycothione reductase	1.8.1.15-RXN
1.20.2.1	arsenite oxidase	RXN-12586
7.1.1.9	cytochrome c oxidase	CYTOCHROME-C-OXIDASE-RXN+RXN1YI0-22
1.20.9.1	arsenite oxidoreductase	1.20.98.1-RXN
4.4.1.9	beta-cyanoalanine synthase	L-3-CYANOALANINE-SYNTHASE-RXN
3.5.5.4	beta-cyano-L-alanine nitrilase	3.5.5.4-RXN
4.2.1.65	beta-cyano-L-alanine hydratase	3-CYANOALANINE-HYDRATASE-RXN
1.16.1.1	mercury(II) reductase	MERCURY-II-REDUCTASE-RXN
1.11.1.7	baicalein peroxidase 3	RXN-14240
1.15.1.1	superoxide dismutase	SUPEROX-DISMUT-RXN
1.11.1.9	glutathione peroxidase	GLUTATHIONE-PEROXIDASE-RXN
1.11.1.6/1.11.1.21	catalase	CATAL-RXN
2.7.1.6	galactokinase	GALACTOKIN-RXN
2.7.7.10/2.7.7.64	UDP-galactose/glucose pyrophosphorylase	UTPHEXPURIDYLYLTRANS-RXN
2.7.1.216	farnesol kinase	RXN-11625
3.5.1.115	mycothiol S-conjugate amidase	RXN1G-186
2.3.2.15	glutathione gamma-glutamylcysteinyltransferase	2.3.2.15-RXN
2.3.3.8	ATP-citrate lyase	ATP-CITRATE-PRO-S--LYASE-RXN
1.1.1.30	3-hydroxybutyrate dehydrogenase type 2	3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN
2.8.3.5	acetoacetate CoA-transferase	RXNI-2
1.14.99.39	ammonia monooxygenase	AMONITRO-RXN
1.7.2.6	cytochrome P460	HAONITRO-RXN+RXN-13570
1.7.2.1	nitrite reductase	NITRITE-REDUCTASE-CYTOCHROME-RXN
1.7.2.7	hydrazine synthase	RXN-11175
1.7.2.8	hydrazine dehydrogenase	1.7.99.8-RXN
7.1.1.8	ubiquinol--cytochrome-c reductase	1.10.2.2-RXN+RXN-18584
1.7.2.-	nitrite oxidoreductase	R247-RXN
1.8.5.4	sulfide:quinone reductase	R17-RXN
1.8.2.1	sulfite dehydrogenase	SULFITE-DEHYDROGENASE-RXN
1.8.5.6	sulfite dehydrogenase	RXN-15349
7.1.1.6	cytochrome b6f complex	PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN
1.3.5.1	succinate-ubiquinone reductase	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN+RXN-14971
1.6.5.9	NADH:ubiquinone oxidoreductase 1 (external)	RXN0-5330
1.10.3.11	ubiquinol:oxygen oxidoreductase	RXN-6883
7.1.1.3	ubiquinol oxidase (H+-transporting)	RXN0-5268
1.8.2.4	dimethylsulfide dehydrogenase	RXN-9763
1.17.5.3	formate dehydrogenase N	FORMATEDEHYDROG-RXN
